dept_no,emp_no,first_name,last_name,dept_name
d007,12373,Mooi,Driscoll,Sales
d007,12399,Mihalis,Luga,Sales
d007,12411,Shao,Ibel,Sales
d007,12415,Uri,Sluis,Sales
d005,12451,Pramod,Marzano,Development
d007,12454,Kerryn,Farris,Sales
d007,12464,Shai,Milicic,Sales
d005,12475,Filipe,Roison,Development
d007,12478,Yahiko,Hopewell,Sales
d005,12489,Arnould,Munck,Development
d005,12490,Jackson,Muchinsky,Development
d005,12493,Filipp,Menhardt,Development
d007,12497,Stein,Penz,Sales
d005,12514,Tomofumi,Melter,Development
d007,12541,Shih,Nanard,Sales
d005,12589,Anoosh,Chleq,Development
d005,12601,Ghassan,Simkin,Development
d005,12638,Yuqun,Seiwald,Development
d007,12651,Pragnesh,Bael,Sales
d005,12662,Leucio,Alvarado,Development
d005,12663,Nobuyoshi,Stellhorn,Development
d007,12664,Zhonghua,Parveen,Sales
d005,12678,Carrsten,Borovoy,Development
d005,12689,Luerbio,Boudaillier,Development
d005,12709,Ronghao,Botman,Development
d005,12726,Fumitake,Panwar,Development
d005,12730,Barry,Perl,Development
d007,12732,Mara,Takanami,Sales
d005,12734,Gil,Frijda,Development
d007,12759,LiMin,Kuszyk,Sales
d005,12773,Jenwei,Lovengreen,Development
d007,12790,Gunilla,Perl,Sales
d007,12798,Lillian,Beeson,Sales
d007,12803,Gad,Boissier,Sales
d005,12848,Kazuhide,Smeets,Development
d007,12872,Marl,Schmittgen,Sales
d005,12876,Apostol,Goodrum,Development
d005,12879,Baruch,Eugenio,Development
d007,12890,Neven,Casley,Sales
d007,12893,Licheng,Crouzet,Sales
d005,12905,Munehiro,Gecsei,Development
d007,12922,Jacqueline,Porenta,Sales
d005,12940,Odinaldo,Farrar,Development
d005,12941,Tommaso,Perelgut,Development
d005,12949,Geoff,Asrin,Development
d007,12951,Mohammad,Keirsey,Sales
d007,12974,Gift,Frolund,Sales
d005,12977,Byong,Markovitch,Development
d005,13012,Florina,Harbusch,Development
d005,13047,Atilio,Chelton,Development
d005,13062,Xinglin,Baak,Development
d007,13075,Rosella,Morrin,Sales
d005,13076,Deniz,Skafidas,Development
d005,13103,Srinidhi,Ellozy,Development
d007,13124,Quingbo,Garnick,Sales
d007,13146,Haldon,Erie,Sales
d007,13147,Shichao,Ginesta,Sales
d005,13156,Akeel,Millington,Development
d007,13173,Arve,Horswill,Sales
d007,13179,Moty,Janocha,Sales
d007,13186,Kyoichi,Barbanera,Sales
d005,13192,Rosita,Flowers,Development
d007,13210,Jianhua,Klassen,Sales
d007,13213,Hein,Billawala,Sales
d005,13232,Mitchel,Fujisaki,Development
d005,13233,Alselm,Chvatal,Development
d007,13238,Ebru,Foote,Sales
d005,13240,King,Pileggi,Development
d007,13243,Fay,Huxford,Sales
d005,13291,Georg,Stamatiou,Development
d005,13302,Mack,Alencar,Development
d007,13305,Bikash,Herath,Sales
d005,13315,Sakthirel,Stroustrup,Development
d005,13333,Yoshinari,Hennebert,Development
d005,13386,Khosrow,Sgarro,Development
d007,13392,Fumitake,Beidas,Sales
d005,13402,Augustine,Dulli,Development
d007,13405,Randy,Baba,Sales
d005,13493,Uinam,Jullig,Development
d005,13504,Parto,Mandell,Development
d007,13524,Chaoyi,Porotnikoff,Sales
d005,13549,Matk,Koprowski,Development
d005,13560,Sibyl,Jeong,Development
d005,13576,Jungsoon,Engberts,Development
d007,13605,Dmitry,Encarnacion,Sales
d005,13621,Fei,Haddadi,Development
d005,13629,Dzung,Trelles,Development
d005,13651,Stamatina,Plesums,Development
d005,13670,Moti,Takanami,Development
d007,13680,Denny,Speer,Sales
d007,13684,Elvia,Christ,Sales
d005,13685,Weicheng,Hockney,Development
d005,13697,Shuichi,Weedon,Development
d007,13721,Sugwoo,Delgrossi,Sales
d005,13738,Bangqing,Mitchem,Development
d007,13747,Masaru,Capobianchi,Sales
d007,13769,Yakichi,Trogemann,Sales
d007,13775,Arve,Maierhofer,Sales
d007,13786,Takushi,Berendt,Sales
d005,13796,Paloma,Thorelli,Development
d007,13801,Shih,Mayerwieser,Sales
d005,13859,Anoosh,Fujisawa,Development
d005,13883,Kwangyoen,Barreiro,Development
d005,13904,Youngkon,Cairo,Development
d007,13916,Vidya,Wynblatt,Sales
d007,13930,Sukumar,Chartres,Sales
d005,13934,Shiv,Bratsberg,Development
d005,13942,Elzbieta,Esteva,Development
d007,13951,Mooi,Genther,Sales
d005,13969,Jianwen,Chandrasekhar,Development
d007,13986,Geraldo,Ramsey,Sales
d005,13990,Deborah,Schapiro,Development
d005,14005,Vojin,Stellhorn,Development
d005,14113,Along,Herber,Development
d005,14139,Sachin,Conry,Development
d005,14191,Jiann,Luby,Development
d007,14197,Adin,Chachaty,Sales
d005,14232,Masali,Bojadziev,Development
d007,14275,Tristan,Aseltine,Sales
d005,14287,Masali,Highland,Development
d007,14310,Marlo,Leuchs,Sales
d005,14322,Shem,Kakkad,Development
d005,14345,Barry,Ramsey,Development
d007,14354,Mong,Bojadziev,Sales
d005,14372,Saniya,Srimani,Development
d005,14380,Shigeu,Heemskerk,Development
d005,14384,Tomofumi,Holburn,Development
d005,14434,Elvis,Maginnis,Development
d007,14478,Munehiro,Boissier,Sales
d005,14483,Supot,Marrevee,Development
d007,14513,Samphel,Barreiro,Sales
d005,14514,Fay,Denny,Development
d007,14516,Kristian,Underwood,Sales
d005,14533,Kensei,Borovoy,Development
d005,14552,Ibibia,Snyers,Development
d005,14560,Elrique,Driscoll,Development
d005,14581,Gao,Condotta,Development
d005,14582,Kiyokazu,Morrin,Development
d005,14603,Lech,Marquardt,Development
d007,14607,Suzette,Selvestrel,Sales
d007,14621,Souichi,Wixon,Sales
d007,14639,Arvind,Hempstead,Sales
d005,14640,Toshimori,Kornatzky,Development
d005,14642,Florian,Kuhnemann,Development
d005,14645,Laurentiu,Glinert,Development
d007,14648,IEEE,Lorys,Sales
d005,14690,Yechezkel,Bellone,Development
d005,14713,Terresa,Ballarin,Development
d005,14793,Stein,Uchoa,Development
d005,14817,Gaurav,Masaki,Development
d005,14821,Oguz,Kilgore,Development
d005,14839,Changho,Cronin,Development
d005,14853,Taiji,Nergos,Development
d007,14865,Ute,Serra,Sales
d007,14871,Arnd,Kaiserswerth,Sales
d005,14877,Arto,Meriste,Development
d005,14879,Anyuan,Sigstam,Development
d007,14888,Temple,Barriga,Sales
d007,14899,Alejandro,Casley,Sales
d005,14908,Kerhong,Flanders,Development
d005,14909,Mohan,Kamble,Development
d005,14914,Gretta,Benzaken,Development
d005,14923,Shuzo,Gyorkos,Development
d005,14941,Nathan,Lichtner,Development
d005,14954,Fox,Magliocco,Development
d005,14955,Boguslaw,Kalefeld,Development
d007,14966,Zhanqiu,Underwood,Sales
d005,14987,Tiina,Demeyer,Development
d005,14993,Sanjay,Koblitz,Development
d007,15030,Rasikan,Nourani,Sales
d005,15036,Ziva,Delgrande,Development
d005,15066,Tomokazu,Oaver,Development
d007,15071,Ayonca,Couchot,Sales
d005,15082,Guadalupe,Zirintsis,Development
d005,15089,Giri,Coney,Development
d007,15105,Sudhanshu,Itzigehl,Sales
d007,15113,Zhiguo,Giaccio,Sales
d005,15114,Pantung,Honglei,Development
d005,15133,Kagan,Malinowski,Development
d007,15134,Arun,Luiz,Sales
d007,15151,Urs,Pouyioutas,Sales
d007,15176,Charlene,Sankaranarayanan,Sales
d005,15193,Neelam,Schach,Development
d005,15196,Souichi,Duclos,Development
d005,15202,Pranay,Irland,Development
d005,15205,Cheong,Rodiger,Development
d005,15230,Keiichiro,Suessmith,Development
d005,15234,Jouko,Zhiwei,Development
d005,15237,Reinhard,Sadowsky,Development
d007,15271,Shiv,Bernardeschi,Sales
d007,15292,Miyeon,Lammel,Sales
d005,15329,Fan,Openshaw,Development
d007,15330,Jaroslava,Chinal,Sales
d005,15334,Luerbio,Kuzuoka,Development
d005,15365,Mikhail,Schiettecatte,Development
d007,15369,Premal,Penttonen,Sales
d005,15370,Chuanyi,Nilsson,Development
d007,15372,Nahum,Broder,Sales
d005,15377,Shugo,Aumann,Development
d007,15382,Alassane,Siegrist,Sales
d005,15392,Pradeep,Markovitch,Development
d007,15410,Wilmer,Kushner,Sales
d005,15412,Huai,Thiria,Development
d005,15452,Kazuhira,Weedman,Development
d007,15454,Hongzue,Cesareni,Sales
d007,15474,Gilbert,Plumb,Sales
d005,15480,Kwok,Trogemann,Development
d005,15504,Kasturi,Alpin,Development
d005,15510,Inderjeet,Sethi,Development
d007,15511,George,Kowalchuk,Sales
d005,15518,Uno,Valtorta,Development
d005,15525,Masadi,Cherinka,Development
d007,15539,Shigeichiro,Spieker,Sales
d005,15545,Masadi,Suri,Development
d005,15548,Sanjai,Caine,Development
d007,15566,Baoqiu,Azuma,Sales
d007,15601,Carrsten,Anily,Sales
d005,15623,Vishu,Falby,Development
d007,15641,Jaana,Roisin,Sales
d005,15666,Pintsang,Rothenberg,Development
d005,15703,Chenye,Hanratty,Development
d007,15708,Reuven,Kushnir,Sales
d007,15715,Insup,Ibel,Sales
d005,15739,Poorav,Bahr,Development
d007,15740,Stepehn,Pocchiola,Sales
d005,15765,Tonny,Taubenfeld,Development
d007,15799,Manton,Gelosh,Sales
d007,15819,Magdalena,Rajcani,Sales
d005,15821,Aleksander,Antonakopoulos,Development
d005,15876,Munehiro,Vakili,Development
d005,15889,Sasan,Azumi,Development
d007,15912,Piyawadee,Cichocki,Sales
d005,15920,Sanjit,Laurillard,Development
d007,15938,Garnik,Covnot,Sales
d005,15948,Karoline,Versino,Development
d005,15971,Arumugam,Aloia,Development
d005,15993,Yoshimitsu,Peir,Development
d005,16019,Chaoyi,Heystek,Development
d005,16025,Doowon,Luce,Development
d005,16052,Maria,Rodham,Development
d007,16066,Marsha,Penn,Sales
d005,16076,Marko,Ebeling,Development
d005,16077,Kannan,Heemskerk,Development
d005,16086,Mohammad,Denos,Development
d005,16094,Berto,Rosar,Development
d007,16105,Alper,Tetzlaff,Sales
d005,16130,Kerryn,Belinskaya,Development
d005,16134,Annemarie,Chaudhuri,Development
d005,16146,Cathie,Meriste,Development
d005,16185,Marin,Winter,Development
d005,16201,Krassimir,Olano,Development
d005,16212,Izaskun,Glinert,Development
d005,16222,Shaz,Thummel,Development
d007,16233,Sushant,Baba,Sales
d005,16237,Slavian,Leaver,Development
d007,16266,Mikhail,Sethi,Sales
d005,16272,Shuho,Zeleznik,Development
d007,16331,Giap,Garnham,Sales
d007,16355,Nikolaos,Luca,Sales
d007,16364,Yifei,Gini,Sales
d007,16373,Narain,Aseltine,Sales
d007,16396,Guangming,Yoshimura,Sales
d007,16398,Limsoon,Krzyzanowski,Sales
d007,16399,Apostol,Collette,Sales
d007,16446,Jouko,Chinin,Sales
d005,16447,Zhiguo,Savasere,Development
d005,16448,Tsvetan,Zwicker,Development
d007,16487,Arunas,Yemenis,Sales
d007,16490,Muzhong,Thiria,Sales
d007,16500,Elvis,Servieres,Sales
d005,16504,Mong,Cromarty,Development
d005,16537,Weidon,Seiwald,Development
d005,16546,Sangeeta,Lanphier,Development
d005,16551,Sadegh,Ranon,Development
d005,16556,Mostafa,Hiltgen,Development
d005,16557,Fan,Majewski,Development
d007,16607,Vishwani,Honglei,Sales
d005,16608,Boguslaw,Greibach,Development
d005,16619,Arvind,Boguraev,Development
d007,16672,Georgi,Peris,Sales
d005,16674,Duke,Takanami,Development
d005,16679,Domenick,Cummings,Development
d005,16716,Ramachenga,Zumaque,Development
d005,16731,Domenico,Versino,Development
d005,16759,Vojin,Masaki,Development
d005,16799,Shigeichiro,Bamford,Development
d005,16801,Gila,Strooper,Development
d005,16803,Ziva,Rohrbach,Development
d007,16806,Sreekrishna,Dayana,Sales
d007,16808,Kiyokazu,Katiyar,Sales
d007,16858,Akeno,Gustavson,Sales
d005,16875,Nikolaos,Radhakrishnan,Development
d007,16885,Ronghao,Stentiford,Sales
d005,16910,Kazunori,Botman,Development
d007,16921,Evgueni,Yeung,Sales
d005,16969,Sanjit,Braccini,Development
d007,16993,Hongzue,Dahlbom,Sales
d007,16996,Shigenori,Millington,Sales
d005,17012,Valdiodio,Petereit,Development
d005,17018,Berhard,Tasistro,Development
d005,17046,Fay,Kornyak,Development
d005,17055,Marin,Wixon,Development
d007,17063,Anoosh,Thiran,Sales
d005,17066,Heping,Ruther,Development
d005,17068,Bodh,Gopalakrishnan,Development
d007,17089,Rafail,Erman,Sales
d005,17097,Cathie,Berztiss,Development
d005,17098,Xuedong,Gelosh,Development
d005,17101,Sandeepan,Compeau,Development
d007,17102,Radhika,Garnick,Sales
d005,17103,Takahiro,Feldmann,Development
d005,17112,Yuguang,Vickson,Development
d005,17140,Mabhin,Schwabacher,Development
d007,17146,Aemilian,Barbanera,Sales
d005,17159,Quingbo,Mitchem,Development
d005,17163,Yurii,Papsdorf,Development
d007,17185,Danai,Wilfing,Sales
d005,17222,Leen,Muchinsky,Development
d005,17235,Ronnie,Rissanen,Development
d007,17245,Neven,Milicia,Sales
d005,17260,Abdulah,Famili,Development
d007,17275,Shmuel,Danlos,Sales
d005,17277,Arnd,Hopewell,Development
d005,17293,Demin,Alpin,Development
d005,17322,Candida,Fordan,Development
d005,17326,Arumugam,Ramsay,Development
d005,17329,Shaunak,Tyugu,Development
d005,17339,Fan,Mullainathan,Development
d007,17352,Muneo,Katiyar,Sales
d005,17355,Mingzeng,Weisert,Development
d005,17361,Macha,Griswold,Development
d007,17436,Chirstian,Munawer,Sales
d005,17448,Makato,Belinskaya,Development
d007,17468,Abdelghani,Irland,Sales
d005,17487,Gully,Staudhammer,Development
d005,17512,Frederique,Hofmeyr,Development
d005,17520,Shahab,Keohane,Development
d005,17539,Cathie,Uhrik,Development
d005,17559,Annemarie,Papastamatiou,Development
d007,17573,Berthier,Deverell,Sales
d005,17582,Kauko,Spieker,Development
d005,17589,Xuejia,Denti,Development
d005,17625,Prodip,Mandelberg,Development
d007,17629,Mostafa,Winter,Sales
d007,17647,Vasilis,Swab,Sales
d005,17674,Adib,Braccini,Development
d005,17677,Mingdong,Ramalingam,Development
d007,17681,Eran,Schauser,Sales
d007,17683,Bernt,Henders,Sales
d007,17695,Kazuhiro,Chvatal,Sales
d005,17699,Radhia,Heping,Development
d005,17702,Mantis,Passafiume,Development
d005,17711,Owen,Katiyar,Development
d005,17745,Hatem,Schreiter,Development
d007,17791,Matt,Stifter,Sales
d007,17796,Alejandro,Impagliazzo,Sales
d005,17815,Shuji,Wissmann,Development
d005,17834,Zhilian,Fiutem,Development
d005,17840,Tonny,Sherertz,Development
d005,17869,Xiaocheng,Prochazka,Development
d007,17874,Rutger,Minakawa,Sales
d005,17891,Isaac,Luiz,Development
d005,17900,Sakthirel,Belinskaya,Development
d005,17916,Sukumar,Morrin,Development
d005,17968,Susanna,Murillo,Development
d005,17973,Sanjit,Beidas,Development
d007,17986,Oguz,Angelopoulos,Sales
d007,18006,Vidya,Hanabata,Sales
d005,18013,Jiong,Shanbhogue,Development
d007,18016,Somnath,Kaminger,Sales
d007,18018,Sasan,Schrooten,Sales
d007,18024,Uzi,Casperson,Sales
d005,18061,Francesca,Taubman,Development
d007,18065,Chriss,Wroclawski,Sales
d005,18068,Geoff,Lorie,Development
d005,18080,Satyanarayana,Rosar,Development
d007,18086,Brewster,Szmurlo,Sales
d005,18099,Kazuhiko,Fendler,Development
d007,18108,Sanjai,Genin,Sales
d005,18134,Ult,Pesch,Development
d005,18138,Moni,Baezner,Development
d005,18210,Mabo,Radhakrishnan,Development
d005,18250,Godehard,Orlowski,Development
d005,18261,Shridhar,Baak,Development
d007,18274,Yefim,Karnin,Sales
d007,18297,Guther,Nastansky,Sales
d005,18310,Ioana,Dalton,Development
d005,18316,Hongzue,Msuda,Development
d005,18323,Oddvar,Tiemann,Development
d005,18362,Pohua,Wolniewicz,Development
d007,18369,Pintsang,Backhouse,Sales
d005,18382,Remko,Mattern,Development
d007,18401,Vidya,Itzfeldt,Sales
d007,18407,Marsja,Luit,Sales
d007,18435,Basim,Covnot,Sales
d007,18443,Florina,Swick,Sales
d005,18448,Rosine,Bazelow,Development
d007,18454,Eric,Anido,Sales
d005,18468,Kirk,Cunliffe,Development
d007,18492,Turgut,Brickell,Sales
d005,18511,Pascal,Marzano,Development
d005,18542,Tiina,Anido,Development
d005,18571,Xinglin,Flowers,Development
d007,18581,Mitsuyuki,Ranai,Sales
d007,18612,Nevin,Sevcikova,Sales
d007,18664,Itzchak,Akaboshi,Sales
d005,18666,Hitofumi,Baja,Development
d005,18671,Shan,Nastansky,Development
d005,18673,Ohad,Orlowski,Development
d007,18679,Roded,Lambe,Sales
d007,18701,Mori,Ratnakar,Sales
d007,18706,Debaprosad,Schicker,Sales
d005,18723,Yechezkel,Baumann,Development
d007,18725,Cullen,Marchegay,Sales
d005,18728,Tzvetan,Luft,Development
d005,18769,Kirk,Luit,Development
d007,18771,Domenick,Haraldson,Sales
d005,18775,Shay,Akazan,Development
d005,18782,Fan,Pepe,Development
d005,18786,Guozhong,Veevers,Development
d007,18789,Reinhold,Domenig,Sales
d005,18790,Florina,Rahier,Development
d007,18809,Laurentiu,Munoz,Sales
d005,18832,Pasqua,DiGiano,Development
d005,18833,Roded,Majewski,Development
d005,18835,Uwe,Lieblein,Development
d005,18865,Roselyn,Beutelspacher,Development
d005,18888,Sajjan,Stassinopoulos,Development
d007,18892,Kamakshi,Matzat,Sales
d005,18921,Maren,Radwan,Development
d005,18927,Muneo,Msuda,Development
d005,18933,Barun,Panienski,Development
d005,18980,Weiye,Kawashimo,Development
d007,18994,Leszek,Mitsuhashi,Sales
d005,19006,Martina,Hempstead,Development
d007,19012,Gal,Panangaden,Sales
d007,19014,Jiafu,Danecki,Sales
d005,19029,Khosrow,Jiang,Development
d007,19031,Rosella,Pollock,Sales
d007,19048,Nikolaus,Radhakrishnan,Sales
d005,19051,Marek,Cappello,Development
d005,19089,Badri,Ellozy,Development
d007,19109,Jenwei,Denis,Sales
d007,19113,Persi,Bahr,Sales
d005,19120,Giri,Qiwen,Development
d007,19134,Seongbin,Bakhtari,Sales
d007,19147,Chaitali,Bennis,Sales
d007,19160,Tetsurou,Jervis,Sales
d005,19192,Yinlin,Schusler,Development
d007,19201,Arto,Sommen,Sales
d007,19205,Moto,Sinitsyn,Sales
d005,19259,Anoosh,Pelc,Development
d005,19294,IEEE,Schoegge,Development
d005,19310,Bouchung,Guerreiro,Development
d007,19318,Xianlong,Halevi,Sales
d005,19333,Sanjeeva,Schrooten,Development
d007,19343,Heping,Hempstead,Sales
d005,19353,Mayumi,Schaar,Development
d007,19381,Xiahua,Holburn,Sales
d007,19419,Palash,Bernardeschi,Sales
d005,19425,Xuejia,Pettey,Development
d005,19445,Xinglin,Gecsel,Development
d005,19487,Huiqun,Cannane,Development
d005,19488,Maris,Perly,Development
d005,19504,Mingsen,Valtorta,Development
d005,19515,Keiichiro,Gurbaxani,Development
d005,19543,Chaitali,Perl,Development
d007,19580,Stein,Tagansky,Sales
d005,19586,Hirochika,Minakawa,Development
d005,19604,Nahla,Cappello,Development
d005,19616,Niranjan,Uchoa,Development
d005,19621,Radhakrishnan,Albarhamtoshy,Development
d007,19624,Younwoo,Wolniewicz,Sales
d007,19629,Stepehn,Matzke,Sales
d005,19633,Tayeb,Nourani,Development
d007,19634,Phuoc,Etalle,Sales
d005,19637,Dipayan,Papastamatiou,Development
d005,19653,Gay,Crooks,Development
d007,19663,Sverrir,Navazio,Sales
d005,19665,Khalid,Zielinski,Development
d007,19669,Shem,Honiden,Sales
d007,19675,Isamu,Herath,Sales
d005,19678,Xiping,Plotkin,Development
d007,19708,Ortrud,Biros,Sales
d005,19720,Kwangyoen,Maksimenko,Development
d007,19723,Xuejun,Magalhaes,Sales
d007,19724,Visit,Hasham,Sales
d007,19728,Candido,Ramsey,Sales
d005,19744,Aleksander,Skafidas,Development
d007,19746,Shiv,Zeidenstein,Sales
d005,19758,Rildo,Birdsall,Development
d007,19777,Halsur,Ferretti,Sales
d007,19826,Fox,Christ,Sales
d005,19831,Kankanahalli,Begiun,Development
d005,19839,Tadahiro,Hempstead,Development
d007,19841,Adil,Straney,Sales
d007,19849,Weicheng,Serre,Sales
d007,19874,Xuejia,Kuzuoka,Sales
d007,19940,Reinhard,Einsfeld,Sales
d005,19950,Jaroslava,Kusakari,Development
d007,19955,IEEE,Conry,Sales
d005,19975,Mabry,Geffroy,Development
d005,20006,Geoff,Birnbaum,Development
d005,20013,Jaewoo,Lanphier,Development
d005,20022,Felicidad,Bellone,Development
d005,20037,Tse,VanScheik,Development
d007,20042,Margareta,Munck,Sales
d005,20043,Chikara,Adachi,Development
d005,20048,Moon,Mattern,Development
d005,20059,Pranay,Panwar,Development
d005,20060,Chrisa,Attimonelli,Development
d005,20075,Mikhail,Oberman,Development
d007,20130,Xiaoshan,Picco,Sales
d007,20148,Ibibia,Polupanov,Sales
d005,20169,Gil,Zuberek,Development
d007,20170,Emdad,Himler,Sales
d007,20181,Thodoros,Wegerle,Sales
d005,20245,Halsur,Fujisawa,Development
d005,20251,Cristinel,Unno,Development
d007,20266,Ekawit,Kakkad,Sales
d005,20284,Monique,Parascandalo,Development
d007,20305,Gou,Birnbaum,Sales
d007,20325,Katsuyuki,England,Sales
d005,20327,Doowon,Lyonns,Development
d005,20334,Miquel,Frijda,Development
d007,20338,Reinhard,Butner,Sales
d005,20339,Masami,Jumpertz,Development
d005,20367,Bernt,Takanami,Development
d005,20375,Conor,Birrer,Development
d005,20392,Terresa,Sidje,Development
d005,20405,JiYoung,Mitina,Development
d005,20408,Debatosh,Smailagic,Development
d005,20416,Oddvar,Swiler,Development
d007,20435,Oguz,Homond,Sales
d005,20450,Abdelwaheb,Binkley,Development
d005,20454,Nidapan,Gunderson,Development
d005,20456,Sigeru,Highland,Development
d005,20489,Boguslaw,Garrabrants,Development
d005,20490,Soenke,Douceur,Development
